"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
88455				false			false			false	false		true	1897	false		false			false								
89032				false			false			false	false		false		true	44	false			false								
89135				false			false			false	false		false		false		false			false								
89854				false			false			false	false		false		false		false			false								
89957				false			false			false	false		false		false		false			false								
90047				false			false			false	false		false		false		false			false								
90177				false			false			false	false		true	15425	true	15425	false			false								
90328				false			false			false	false		false		false		false			false								
90337	0	0																										
90579				false			false			false	false		false		false		false			false								
91615				false			false			false	false		false		false		false			false								
91754	0	0																										
91950				false			false			false	false		false		false		false			false								
92144				false			false			false	false		false		false		false			false								
92676	0	0																										
92706				false			false			false	false		true	7865	true	24716	false			false								
92902				false			false			false	false		false		false		false			false								
93244	1295	0		true	0	0	false			false	false		true	48416	true	106072	false			false								
93543	20261	0		true	0	0	false			false	false		false		true	227646	false			false								
93619																												
94139				false			false			false	false		false		false		false			false								
94522				false			true	0	825	true	false		false		false		false			false	8347	0				-120	0	
94755				false			false			false	false		false		false		false			false								
94858				false			false			false	false		false		false		false			false								
95051	8200	0						0	0																			
95677				false			false			false	false		true	6832	true	2562	false			false								
96553				false			false			false	false		false		true	33015	false			false								
97055				false			false			false	false		false		false		false			false								
97279				false			false			false	false		false		false		false			false								
97457				false			false			false	false		false		false		false			false								
97804	50746	0		true	0	0	false			true	false		true	1663	true	71715	false			false	5303	5328				0	0	
97943	3898	0		true	0	0	false			false	false		true	5540	false		false			false								
98351				false			false			false	false		false		false		false			false								
98463				false			false			false	false		false		false		false			false								
98717	0	0						0	0																			
99143	5414	0		true	0	0	false			false	false		false		false		false			false								
99376	502183	0						7143	1241																	-3240	0	
99442				false			false			false	false		false		false		false			false								
99536				false			false			false	false		false		false		false			false								
99853				false			false			false	false		false		false		false			false								
100236				false			false			false	false		false		false		false			false								
100357				false			false			false	false		false		false		false			false								
100562	0	0						10156	1346																			
100777				false			false			false	false		false		false		false			false								
100843	1	0		true	0	0	false			false	false		true	1612	true	6846	false			false								
101037				false			false			false	false		false		false		false			false								
101439				false			false			false	false		false		false		false			false								
101671	0	0																										
101738				false			false			false	false		false		false		false			false								
101952				false			false			false	false		false		false		false			false								
102333				false			false			false	false		false		false		false			false								
102342	240	0		true	0	0	false			false	false		true	29881	true	29881	false			false								
102557				false			false			false	false		false		false		false			false								
102874	0	0																										
103134				false			false			false	false		false		false		false			false								
104234				false			false			false	false		false		false		false			false								
104542				false			false			false	false		false		false		false			false								
104971				false			false			false	false		false		false		false			false								
105026				false			false			false	false		false		false		false			false								
105473				false			false			false	false		false		true	31	false			false								
105530				false			false			false	false		false		false		false			false								
106359	50000	23542																										
106452				false			false			false	false		false		false		false			false								
106676				false			false			false	false		false		true	13077	false			false								
107244	3544	0						0	0																			
107570				false			false			false	false		false		true	176804	false			false								
107758				false			false			false	false		false		false		false			false								
108072				false			false			false	false		false		false		false			false								
108269				false			false			false	false		false		false		false			false								
108652				false			false			false	false		false		false		false			false								
108746				false			false			false	false		false		false		false			false								
108951	15000	0		true	0	0	true	9923	1170	false	false		true	6199	false		false			false								
109136				false			false			false	false		false		false		false			false								
109154				false			false			false	false		true	32	false		false			false								
109453				false			false			false	false		false		false		false			false								
109574				false			false			false	false		true	2306	true	3438	false			false								
109659				false			false			false	false		false		true	95118	false			false								
110413	0	0																										
110936				false			false			false	false		false		false		false			false								
110945				false			false			false	false		false		false		false			false								
110972				false			false			false	false		false		false		false			false								
111157	0	0						0	0																			
111205	52748	0		true	2895	16	false			false	false		true	14321	true	69208	false			false								
111942	4590	0		true	0	0	false			false	false		true	93151	true	294627	false			false								
111979				false			false			false	false		false		false		false			false								
112163	874	0						7291	874																			
112332				false			false			false	false		false		false		false			false								
112510				false			false			false	false		false		false		false			false								
112556				false			false			false	false		false		false		false			false								
112837								0	0														641903	0	708003			
113003	0	0																										
113030				false			false			false	false		false		false		false			false								
113441	100000	0		true	0	0	false			true	false		false		true	45926	false			false	460	0				-10	0	
113601				false			false			false	false		false		false		false			false								
113740	40053	0						39732	7605																			
114149				false			false			false	false		false		false		false			false								
114260	10586	0						8089	8014																			
